ID	Group
ASC-10-uM-3	ASC-10
ASC-10-uM-4	ASC-10
ASC-30-uM-3	ASC-30
ASC-30-uM-4	ASC-30
ASC-CTRL-3	ASC-CTRL
ASC-CTRL-4	ASC-CTRL
C136-10-uM-3	C136-10
C136-10-uM-4	C136-10
C136-30-uM-3	C136-30
C136-30-uM-4	C136-30
C136-CTRL-3	C136-CTRL
C136-CTRL-4	C136-CTRL
NOVA1-C15-10-uM-3	NOVA1-C15-10
NOVA1-C15-10-uM-4	NOVA1-C15-10
NOVA1-C15-30-uM-3	NOVA1-C15-30
NOVA1-C15-30-uM-4	NOVA1-C15-30
NOVA1-C15-CTRL-3	NOVA1-C15-CTRL
NOVA1-C15-CTRL-4	NOVA1-C15-CTRL
NOVA1-C27-10-uM-3	NOVA1-C27-10
NOVA1-C27-10-uM-4	NOVA1-C27-10
NOVA1-C27-30-uM-3	NOVA1-C27-30
NOVA1-C27-30-uM-4	NOVA1-C27-30
NOVA1-C27-CTRL-3	NOVA1-C27-CTRL
NOVA1-C27-CTRL-4	NOVA1-C27-CTRL
